,eng_reference,thai_reference,trimmed_segment_path
494,"Whether it's the relatives of the perpetrators or the relatives of the victims, we use hypothetical names, but",ไม่ว่าจะเป็นญาติของฝั่งผู้กระทํา หรือว่าญาติของเหยื่อ อะไรแบบนี้ เราก็เลยใช้ชื่อสมมติเลย แต่เรื่องราวที่เกิดขึ้นคือเรื่องจริงครับ ตอนนี้ตังค์ทํามาทั้งหมดกี่ตอนแล้วครับ ในรายการ 170 170 กว่าตอนแล้วครับ 170 กว่าตอน ใช่ครับ 1 คดีที่เป็นไทย ที่เหลือจะเป็นของต่างประเทศ ต่างประเทศหมดเลยฮะ,combined_wav/combined_output_495.wav
500,"There was nothing in the house, so he walked up to the barn, and it turns out that when he opened the door, he saw his own child, but in the condition that he was hanging from the tree, with his hand tied, and then he died.",ในบ้านไม่มีอะไรเลย พ่อก็เลยเดินเข้าไปดูในยุ้งฉางข้าว ปรากฏว่าตอนเปิดประตูไปฮะ เห็นลูกตัวเอง แต่อยู่ในสภาพที่เหมือนห้อยลงมาจากขื่อไม้ โดยการถูกมัดมืออย่างนี้ฮะ แล้วก็เสียชีวิตอยู่อย่างนั้น อืม แต่ความแปลกประหลาด ความน่ากลัวของคดีนี้คือ ลูกที่ถูกมัดห้อยลงมา,combined_wav/combined_output_501.wav
502,"I mean, it's kind of hangin' for too long, it's not breathing like this, but the case isn't killed, it's hung, it's not like it's done, it's dead, but the big question is, who did it?",คือท่าทางอะฮะ มันเหมือนแขวนนานเกินไป แล้วก็ขาดอากาศหายใจ อะไรไปอย่างนี้ แต่คดี มันไม่ได้ถูกฆ่าตาย แล้วเอาไปแขวน ไม่ใช่ เหมือนถูกทําอย่างนี้ อ๋อ แล้วตายไปเลย แต่คําถามที่สําคัญ คือแล้วใครทำ ครับ พอมาพิจารณาคดีฮะ มีคนเข้าไปโยงเกี่ยวกับเรื่องศาสตร์มืดเยอะ,combined_wav/combined_output_503.wav
503,"Well, the point is, if we look at it, he's got 12 knots on his hand, but if we think his hand is tied like this, the handle is 13 knots, right?",แล้วคดีนี้ ตังค์เห็นภาพใช่ไหม ประเด็น คือหากเราพิจารณาอะครับ น้องเขาถูกผูกเงื่อน 12 ปมครับ ตรงมือ แต่ถ้าเราคิดว่ามือของเขาถูกผูกอย่างนี้ มือที่จับกันเนี่ย จะเป็น 13 ปม มันก็เลข 13 ถูกไหม อืม ผูก 12 รอบ มือจับอีก 1 ปมเป็น 13 อ๋อ,combined_wav/combined_output_504.wav
507,"What's even more tragic than the horror of this case is that your father, your mother, is just a working class, he's not being fair to the police, she can't stand the fact that his only son died running into the woods, couldn't find him, he became mad, and his destiny was to die.",สิ่งที่มันน่าเศร้าเกินกว่าความสยองขวัญของคดีนี้ คือคุณพ่อ คุณแม่เขาเป็นแค่ชนชั้นแรงงานครับ ที่หาเช้ากินค่ำ เขาไม่ได้รับความเป็นธรรมจากตํารวจเลย คุณแม่รับไม่ได้ที่ลูกชายเพียงคนเดียวเสียชีวิต วิ่งเข้าป่าหายไปเลย หาไม่เจอ คุณพ่อกลายเป็นบ้า และสุดท้ายชะตาชีวิต คือเสียชีวิตไป,combined_wav/combined_output_508.wav
511,"We don't know if this theory is the right theory, right, so we have to try to figure out a theory to show the audience what they think, and let the audience exchange the knowledge of what they think, because the money theory is going to be able to come up with its own money.",เราก็ไม่รู้ว่าทฤษฎีนี้ มันเป็นทฤษฎีที่ถูกต้องหรือเปล่าด้วย ใช่ คือเราต้องพยายามหาทฤษฎี เพื่อนําเสนอให้คุณผู้ชมเขาคิดตาม และก็ให้คุณผู้ชมเขาแลกเปลี่ยนองค์ความรู้มา ว่า เฮ้ย เขาคิดแบบไหน เพราะว่าทฤษฎีของตังค์อะ ตังค์จะมีการไปคิดทางด้านตังค์เองด้วย อะไรอย่างนี้ครับ ว่าการที่เกิดเหตุการณ์แบบนี้ มันอาจจะเกิดจากอะไรได้,combined_wav/combined_output_512.wav
512,"Because sometimes we think, hey, it's murder, but if some corner kid wants to play, does he want to do that?",เพราะว่าบางทีเราคิดว่า เฮ้ย มันคือฆาตกรรม แต่ถ้าบางมุมอะ เด็กเขาอยากเล่น เขาอยากทําแบบนั้น มันจะเป็นไปได้ไหม อะไรแบบนี้ อ๋อ หมายถึงว่า ถ้าเขาทําตัวเขาเอง ใช่ หรือว่ามีคนที่รับรู้ว่าสมยอมกัน หรือว่ามันมีถึงขั้นทฤษฎี ที่ตังค์เอาทางการแพทย์นะครับ คือตัวตังค์อะ พยายามจะนำเสนออะไร,combined_wav/combined_output_513.wav
518,"I guess if it's this kind of thing, it's like this, right? Whether it's a husband killing his",ก็จะพอเดาได้ หากมันมาเนื้อเรื่องอย่างนี้ มันต้องเป็นอย่างนี้ ถูกไหมฮะ ไม่ว่าสามีฆ่าเมียเอง เอาเงินประกัน พ่อฆ่าลูก ลูกฆ่าพ่อ มันปูเรื่องมาปุ๊บ คนจะพอรู้ อืม แต่มันมีคดีหนึ่งเหมือนกัน ที่ตังค์ก็รู้สึกว่า เฮ้ย มันก็น่าจะประมาณนี้ อืม แต่ตังค์รู้สึกความหักมุมของคดีนี้ครับ,combined_wav/combined_output_519.wav
522,"The second twist is knowing the motive for killing your own child is believing that we can kill a child because of this, the father's personality, he's the one who has a secret sexual interest in someone else, he's the one who's gonna be the sex type.",หักมุมรอบที่ 2 คือรู้แรงจูงใจในการฆ่าลูกตัวเอง คือ เชื่อไหมว่าการที่เราจะฆ่าคนเป็นลูกได้ สาเหตุมันมาจากเรื่องนี้ ตัวของคุณพ่ออะครับ เขาจะเป็นคนที่มี รสนิยมทางเพศที่ปิดบังคนอื่นไว้ เขาจะเป็นคนที่ หนึ่งเป็น คือเป็นคนที่ชอบแต่งตัวเป็นอีกเพศ,combined_wav/combined_output_523.wav
525,"Well, it feels sad that we have some kind of taste in this case, actually, it's not something we'd have to kill each other if he knew, hey, I'll go to the doctor, you know, or what, it's dad's taste.",ตายดีกว่า อืม คดีนี้ตังค์รู้สึกว่ามันน่าเศร้านะครับ การที่เรามีรสนิยมแบบใดแบบหนึ่งอะ ที่จริงอะ มันไม่ใช่เป็นเรื่องที่ต้องมาฆ่าแกงกัน ถ้าคุณพ่อตอนนั้นเขารู้ตัวว่า เฮ้ย เดี๋ยวพ่อจะไปหาคุณหมอนะลูก ลูกเข้าใจพ่อนะ หรืออะไร มันเป็นรสนิยมของพ่อ ไปปรึกษาหมอ,combined_wav/combined_output_526.wav
530,"It's one of those things that fills our sexual fantasies with joy, but if any disease you have starts to cause stress to others",มันก็เป็นสิ่งหนึ่งที่เติมเต็มความสุขในจินตนาการทางเพศของเรา แต่ถ้าเมื่อใดที่โรคที่คุณป่วย มันเริ่มสร้างความเดือดร้อนให้กับคนอื่น หรือตัวคุณเอง ครับ อย่างแรกเลย คือเราต้องยอมรับให้ได้ครับว่าเราป่วย คนส่วนใหญ่จะไม่คิดว่าป่วยถูกไหมฮะ อืม แต่ถ้าเรารู้สึกว่า เฮ้ย เราป่วย เรามีปัญหา สุดท้ายถ้าเรายอมรับตัวเองได้,combined_wav/combined_output_531.wav
535,"I think it's a lot of people who feel that they're guilty of what we're doing, but it's not really a sin, so, yes, it's probably your taste that doesn't affect anyone, or even if it's starting to affect when you have a couple.",ผมว่าเป็นคําตอบที่หลาย ๆ คนที่รู้สึกว่าตัวเองเป็น สิ่งที่เราทํามันผิดบาปอยู่ แต่ว่าจริง ๆ แล้วมันอาจจะไม่ใช่ความผิดบาปก็ได้ ใช่ฮะ จริง ๆ มันอาจจะเป็นรสนิยมความชอบของคุณ ที่มันไม่ได้ส่งผลกระทบเดือดร้อนกับใคร หรือแม้กระทั่งถ้ามันเริ่มส่งผลกระทบ เมื่อคุณมีคู่รัก ครับ,combined_wav/combined_output_536.wav
538,"It emits neurotransmitters as well, so, well, we have to accept that, but if they're above the level, they cause other people trouble, or even themselves, like eating the urine, it might cause a repeated infection, well, we have to admit, it's dangerous.",มันหลั่งสารสื่อประสาท โดปามีนเหมือนกันครับ ยังไงอะฮะ เราต้องยอมรับจุดนั้นให้ได้ แต่ถ้าเมื่อใดที่มันเกินระดับ มันไปสร้างความเดือดร้อนให้คนอื่น หรือแม้กระทั่งตัวเอง อย่างเช่นกินอุจจาระ มันอาจจะทําให้เราติดเชื้ออะไรซ้ำซ้อนเนอะ อืม เราก็ต้องยอมรับว่ามันอันตราย ก็มาปรึกษาคุณหมอก่อน อะไรแบบนี้ครับ,combined_wav/combined_output_539.wav
543,"But one day his life was about to end, and that was the worst thing, his brother, it was in his teens, Bob",แต่วันหนึ่งชีวิตเขามันต้องมาจบลง ในเรื่องที่ มนุษย์เราเนี่ย สุดท้ายอะ มันคือสิ่งที่โหดร้ายที่สุด น้องเขาครับ มันอยู่ในวัยรุ่นครับพี่ป๊อบ แล้วทีนี้มันย้อนกลับไปในช่วงปีคศ 20092010 อะไรพวกนั้นอะ ไอ้ตัวนี้มันดัง เว็ปแคมอะไรเนี่ย เด็กเมืองนอกเขาเล่นเว็ปแคม ครับผม เข้ากลุ่มห้องแชตกัน,combined_wav/combined_output_544.wav
549,"One day I came up to her, and hey, I was encouraging her, and when Amanda was at her lowest point, when",วันหนึ่งเข้ามาตีสนิทกับเธอ เฮ้ย ฉันให้กําลังใจเธอเอง เมื่ออแมนดา เธออยู่ในจุดที่มันต่ำที่สุดแล้วอะครับ พอคนหนึ่ง เหมือนมอบความหวังให้ ยื่นมือเข้ามาให้ เรารู้สึก เฮ้ย เราอยากจะตอบรับนะ อแมนดารู้สึกดีใจที่คนคนนี้เข้ามา คุยกันได้สักพัก ก็มีเพศสัมพันธ์กัน อืม วัยรุ่นอะเนอะ มีเพศสัมพันธ์กัน,combined_wav/combined_output_550.wav
552,"So we can't talk, and she writes, and then she opens it up, and we can still find it on the",คือเราไม่สามารถพูดได้แล้ว เธอก็เขียนครับ แล้วก็เปิดไปทีละแผ่น ๆ คลิปนี้ยังอยู่ในอินเทอร์เน็ตนะ เราสามารถไปหาอ่านได้เลย อแมนดา ทอดด์ เธอก็จะเล่าว่าเธอโดนอะไรมาบ้าง สุดท้ายมันมีประโยคหนึ่งที่ติดใจตังค์ คือ เธอบอกว่าฉันไม่มีใครแล้ว ฉันต้องการความช่วยเหลือ ฉันชื่ออแมนดา ทอดด์ แล้วก็จบคลิปไป,combined_wav/combined_output_553.wav
560,"On the day of the first wave, I think that when we were young, we were doing our crimes that we felt since we were kids.",ในวันที่เขาเกิดคลื่นลูกแรกเข้ามาอะ ผมว่าเมื่อเรายังเด็กอะ เราก็กระทําความผิดอะไรของเรา ที่เรา รู้สึกมาตั้งแต่เด็กได้ ใช่ครับ แต่เมื่อมันลงไปเป็น ร่องรอยดิจิทัล ทุกคนต่างมองความผิดนั้น ยกระดับความผิดไปเป็นร้อยเท่า พันเท่า,combined_wav/combined_output_561.wav
561,"I feel like every time something goes wrong, tell yourself, in this age, when something goes wrong, when something goes wrong, we talk to it in our heads, and we don't type it in at all.",จนคนคนหนึ่งมันไม่สามารถรับไหวได้ คือในความรู้สึกผม ผมรู้สึกว่า ทุกครั้งที่มันเกิดเหตุการณ์ที่ผิดพลาดอะไรขึ้น บอกกับตัวเองนะ ในยุคนี้ เวลาเจอเรื่องผิดพลาดอะไรของใครที่เกิดขึ้นอะ ครับ เราจะพูดกับมันเองในหัวของเรา โดยที่จะไม่พิมพ์มันลงไปเลย อืม,combined_wav/combined_output_562.wav
562,"Because we feel that when it's typed in, maybe it's not really who we want to say it is.",เพราะเรารู้สึกว่าเมื่อมันถูกพิมพ์ลงไปแล้วอะ บางทีมันไม่ใช่ตัวเราจริง ๆ ที่เราอยากพูดแบบนั้น ครับ บางทีเราอยากจะด่าแรงกว่านั้นด้วยซ้ำ อยากจะสบถแรงกว่านั้น แต่เมื่อมันอยู่ในหัวเราอะ มันไม่สร้างความเดือดร้อนให้กับใคร หรือแม้กระทั่งคนนั้นที่ผิด หรือเราก็ไม่รู้ว่าผิดจริงหรือไม่อะ ครับ สุดท้าย,combined_wav/combined_output_563.wav
569,"There's a question, that comes up in our own minds, in our own listeners, or a question to society, is",มันก็มีคําถาม ครับ เกิดขึ้นในใจเราเอง คนฟังเอง หรือคําถามต่อสังคม ว่าแล้วเราจะปล่อยให้มันเกิดแบบนี้ขึ้นอีกเหรอ อืม ๆ แต่สุดท้ายครับ เราอยู่บนโลกที่เราไม่สามารถไปควบคุมปัจจัย ที่มันเป็นของคนอื่นตัดสินใจครับ สุดท้ายตังค์ว่าคดีพวกนี้ ไม่ว่าคุณผู้ฟัง คุณผู้ดู ตอนนี้จะเจออะไรอยู่อะครับ,combined_wav/combined_output_570.wav
572,"We don't know when we're going to make mistakes, when we're going to think less, or something like that",เราไม่รู้เลยว่าวันไหนอะ เราจะทําอะไรพลาด วันไหนเราจะคิดน้อยไป อะไรอย่างนี้ แต่วันหนึ่งตังค์ก็หวังว่าเราจะรู้ความผิดของตัวเอง ให้อภัย และแก้ไขมัน แล้วก็ต้องขอความเมตตาจากคนอื่นให้เข้าใจเรานี่แหละ ในตอนที่เราเล่าเรื่องคดีฆาตกรรมอะครับ,combined_wav/combined_output_573.wav
573,"Is there anyone there who needs a warning, because we're not sure what we're hearing, like what we're hearing, something that's really, really, really, really, really, really, really black, so before that, what's the big warning, is that money is a documentary or a study?",มันมีใคร ที่มันต้องมี คำเตือน มีอะไรอย่างนี้ไหมครับ เพราะว่าเราไม่แน่ใจว่าในบางเรื่องที่เราฟัง อย่างเรื่องที่เราฟังมาเนี่ย บางเรื่องมันดูดําดิ่งมาก ๆ เหมือนกัน ก็ต้องมีอะฮะ เมื่อก่อนเนี่ย ตังค์ก็จะขึ้นคําเตือนทั้งหน้า อะไรอย่างนี้ฮะ ว่าการเล่าของตังค์มันเป็นเชิงสารคดี หรือว่ากรณีศึกษานะครับ,combined_wav/combined_output_574.wav
584,"And the back, because if you know the tank, you don't run the ball around the line, and something like that, but",ถึงภูมิหลัง เพราะถ้ารู้ ตังค์ก็ไม่เอาลูกตังค์ไปวิ่งเล่นแถวนั้น อะไรอย่างนี้ อืม ๆ แต่ตอนนี้ทุกคนเหมือนใช้ชีวิตปกติ แล้วมีบ้านหลังนี้หลังเดียวที่ตั้งอยู่ ตังค์เข้าไปดู ทุกอย่างยังเหมือนเดิม มันทําให้เราคิดถึงเหตุการณ์ลําดับต่าง ๆ ที่มันเกิดขึ้นในบ้าน แล้วมันเป็นอะไรที่น่าเศร้าครับ เหมือนเดิม นี่คืออยากรู้ว่า หมายถึงว่าคราบเลือด,combined_wav/combined_output_585.wav
585,"Or what, uh, we can't go in, but it's close enough that he's just blocking his fence",หรือว่าอะไรยังไง อ๋อ เราเข้าไปด้านในไม่ได้ แต่มันก็ใกล้ถึงขนาดที่ว่าเขาแค่กั้นรั้วของเขาอะ แล้วเราก็อยู่หน้าบ้าน ซึ่งแทบจะปีนขึ้นไปได้เลย แต่ใครจะไปทําถูกไหมฮะ อืม เราไม่ทําอยู่แล้ว เราไปอยู่ด้านหน้า เราดูแบบ เฮ้ย มันมุมนี้เลยอะ ตอนที่เราเอารูปไปเทียบ อะไรแบบนี้ฮะ แต่เราจําได้ถึงแบบ,combined_wav/combined_output_586.wav
589,"It's all the same. Oh, and it's not old. Well, it's got to be someone who takes care",ทุกอย่างยังคงเดิม โอ้ แล้วมันไม่เก่าเลยครับ อืม ๆ แปลว่าต้องมีคนที่คอยดูแล อืม มันไม่ใช่ปล่อยเก่าไปตามวันเวลา หยากไย่ มอสส์อะไรขึ้น ไม่ใช่ครับ มันเหมือนรูป ที่ตังค์อะ เอาลงในเวรชันสูตรเลย เดี๋ยวตังค์ส่งให้ทีมงานก็ได้เนอะ เพราะมันเป็นรูปนั้น อันนั้นคือกี่ปีครับ,combined_wav/combined_output_590.wav
590,"Oh, it was probably early 2000s, uh, that means it's been over 20 years, almost 20 years, but we haven",โห เกิดน่าจะต้น ๆ ปีคศ 2000 อะฮะ แปลว่ามัน 20 กว่าปีแล้ว เกือบจะ 20 กว่า แต่ยังไม่สามารถหาตัวคนร้ายได้ ทั้งที่หลักฐานครบถ้วน อืม มันก็เลยอย่างที่บอกครับ การสืบสวนของอเมริกา ฝั่งตะวันตกช่วงนั้น กับฝั่งเอเชียเราค่อนข้างจะ ถ้าเกิดในยุค 19902000 เนี่ย ใกล้เคียงกัน,combined_wav/combined_output_591.wav
592,"It's scary, we know the stark differences between the Japanese murderers and the foreigners, and what, in the case of",มันน่ากลัวมาก เรารู้ถึงความแตกต่างอย่างชัดเจน ของลักษณะฆาตกรคนญี่ปุ่น กับคนประเทศอื่น ๆ อะไรอย่างนี้ เมื่อกี้ถึงการสืบสวนสอบสวนของต่างประเทศมาบ้าง ครับ ในคดีที่เล่าอย่างนี้ อย่างที่หมอตังค์บอกว่า เมื่อกี้อะ อย่างถ้าญี่ปุ่นมาเนี่ย ชัดเลยว่าคดีแบบนี้ ญี่ปุ่น,combined_wav/combined_output_593.wav
595,"But we're all human beings who make mistakes, and maybe this kind of investigation, he does it all, but it might",แต่พวกเราทุกคนล้วนเป็นมนุษย์ที่มีความผิดพลาดครับ บางทีการสืบสวนอะไรแบบนี้ฮะ เขาก็ทําเต็มที่ แต่มันอาจจะมีบางอย่างที่หลุดไป แต่อเมริกาเนี่ย เวลาหลุด จับคนผิด จับแพะ เขาชดเชยเหมือนรู้สึกผิดอะฮะ ไม่อั้น อะไรอย่างนี้ อืม ดูแลตลอด อะไรอย่างนี้ ซึ่งเป็นเงินของอะไร รัฐบาลเหรอ รัฐบาลครับ ใช่ครับ,combined_wav/combined_output_596.wav
596,"Because you've got innocent people, there's so many wrongs, and you've got a lot of stuck to take care of your life.",เพราะว่าคุณจับคนบริสุทธิ์เข้าอะฮะ มันมีหลายคดีเลยที่จับผิด แล้วก็ติดเยอะ ออกมาต้องดูแลตลอดชีวิต อะไรอย่างนี้ เพราะว่าเขาไม่ได้คิดแค่ว่า คนคนนั้นขาดอิสรภาพที่ต้องไปอยู่ในคุก แต่เขาคิดในแง่มนุษย์คนหนึ่ง ที่ถูกสังคมตราหน้าเอาไว้แล้ว คุณคนบาปอะ คุณคือคนผิด,combined_wav/combined_output_597.wav
598,"But he wanted to do justice to the people who lost, prove the facts, at least it had to be a closed case, and now",แต่เขาอยากจะให้ความยุติธรรมกับคนที่เสียไปแล้ว พิสูจน์ข้อเท็จจริง อย่างน้อยมันต้องเป็นคดีที่ปิดได้ เดี๋ยวนี้เขาเลยมีการพัฒนาเทคโนโลยีอะไรต่าง ๆ เอา ลงไปปุ๊บ สามารถประมวลผลรูปร่างหน้าตาคนร้าย หรือว่าญาติคนร้าย น่าจะเป็นหน้าตายังไง อย่างนี้ได้หมดเลยฮะ สิ่งนี้มันทําให้ประเทศเขาค่อนข้างจะพัฒนา เพราะเขาอยากจะหาความยุติธรรม,combined_wav/combined_output_599.wav
600,"So, uh, that's going to be a little bit of a disadvantage -- oh, to study, to come to Asia -- our style is full, but sometimes we make some mistakes, so the evidence collection at the crime scene may be incomplete, or in Korea, Japan.",ดังนั้นอะ อันนั้นก็จะเป็นจุดด้อยนิดหนึ่ง อ๋อ ที่ต้องศึกษานะ ตัดฝั่งมาที่เอเชียเราครับ สไตล์เรานั่นแหละฮะ ก็ทําเต็มที่ แต่บางทีก็พลาดนู่น พลาดนี่ไปบ้าง การเก็บหลักฐาน ในที่เกิดเหตุ อาจจะมีการเก็บไม่สมบูรณ์ หรือว่าที่เกาหลี ญี่ปุ่น,combined_wav/combined_output_601.wav
605,"So in the future, I've been to a city, a town, a town where he sells meat, a town, a",เพื่อเอาไปวางแผนการทําระบบอะไรต่าง ๆ เราในอนาคต ผมอะ เคยไปเมือง เมืองอะไรวะ เมืองที่เขาขายเนื้อกันอะ เมืองอะไรนะ โกเบ ผมเคยไปโกเบ แล้วผมก็ไป แล้วผมก็รู้สึกว่าผมจะเห็นรูปเด็กผู้หญิงคนหนึ่งอะ ครับ โดนแปะ ซึ่งก็แปะทุกที่,combined_wav/combined_output_606.wav
609,"It's very close to us, so who's the criminal story, the killer story, it's really far away, our lives, when we do a lot of dead people, and we ask ourselves, ""Well, what day do the victims become us, the people we love, or the people we know, they don't really choose these things?""",มันใกล้ตัวเรามากครับ ดังนั้นใครว่าเรื่องราวอาชญากรรม เรื่องราวฆาตกรเนี่ย มันไกลตัว ตังค์ว่าไม่นะ ชีวิตเรา พอทําเรื่องคนตายเยอะ เราเลยตั้งคําถามกับชีวิตเราว่า แล้วเราล่ะ วันหนึ่งวันใด เหยื่ออาจจะกลายเป็นเรา คนที่เรารัก หรือคนที่เรารู้จักก็ได้ครับ มันไม่เลือกจริง ๆ เรื่องพวกนี้,combined_wav/combined_output_610.wav
612,"It takes a lifetime to live with him, but, um, don't try to put yourself in such a dangerous place, sir, to live with him in a dangerous area, but it's just a lesson, it's a little bit of an experience that other people have given us.",มันก็ต้องใช้ชีวิตกับเขา แต่พอ อืม เราอย่าพยายามวางตัวเองไปในที่เสี่ยงขนาดนั้น ครับ ไปอยู่กับเขาในพื้นที่ที่อันตราย ครับ ก็เป็นแค่บทเรียนสอนใจ เป็นประสบการณ์ที่คนอื่นถ่ายทอดมาให้เราได้ฉุกคิดนิดหนึ่ง ครับ พอพูดถึงเมื่อกี้นี้ มันย้อนกลับไปที่คําถามที่พี่อยากถามเลยว่า,combined_wav/combined_output_613.wav
613,"Listening to a murder, well, what's it got to do with people? Well, the first thing that money can't answer is money, because money can't be told, um, more audiences, but it's a lot of money.",การฟังคดีฆาตกรรม อืม มันให้อะไรกับคนฟังบ้าง คือตังค์ว่าอย่างแรกครับ ตังค์ไม่สามารถตอบได้ เพราะตังค์เป็นคนเล่า อืม ต้องถามคนฟัง คนดูมากกว่า แต่ตังค์ก็พอเคยถามแล้ว มันก็หลากหลายเลยฮะ อย่างแรกคนมาฟังช่องตังค์ เฮ้ย หลับ เพราะว่าเพลิน ๆ,combined_wav/combined_output_614.wav
616,"One day, this guy, he was already watching the channel, and he contacted the sponsor, and he contacted the sponsor on behalf",วันหนึ่งครับ พี่คนนี้เขาเป็นคนดูช่องตังค์อยู่แล้ว เขาติดต่อมาสปอนเซอร์ แล้วเขาก็ติดต่อสปอนเซอร์ในนามบริษัท เขาบอกว่าแต่พี่ขอจ่ายนะ ทุกอย่างออกใบเสร็จของตัวพี่ ตังค์ก็งงว่า อ้าว ทําไมไม่เอาบริษัทออก จ่ายตังค์ เขาบอกว่าบริษัทช่วยเขาเยอะ เขาอยากตอบแทนบริษัทบ้าง ตังค์ก็เริ่มสงสัย อืม ด้วยความเป็นเจ้าหนูจําไม ก็เลยถามว่า,combined_wav/combined_output_617.wav
620,"What we're doing out there, maybe we don't see it, but there's someone who realizes it, and it",สิ่งที่เราทําอะไรออกไปอะ บางทีเราอาจจะไม่เห็น แต่มีคนที่รับรู้ ครับ แล้วมีผลกับชีวิตเขาจริง ๆ อะไรแบบนี้ ทีนี้ มันเดินมาถึงใกล้จะมีผู้ติดตาม 1 ล้านคนแล้วนะ ครับ หมอตังค์มองว่าตัวเอง ขั้นต่อไปจากการเล่าเรื่องฆาตกรรมแล้ว ในช่อง อยากมีอะไรที่มันต่อยอดไป,combined_wav/combined_output_621.wav
625,"Whether it's just a fun story to listen to it as fun or a sleep listener, well, you can do it with the credit card, but if you listen to it as a, oh, social struggle is still possible, thank you very much today.",ไม่ว่าจะเป็นแค่เรื่องราวสนุกสนานในการฟัง ครับ ถ้าจะฟังให้มันเป็นความสนุกสนาน หรือฟังให้หลับ อืม ก็สามารถทําได้ ครับ กับหมอตังค์ แต่ถ้าฟังให้มันเป็น โอ้โห การกระเพื่อมของสังคม ก็ยังสามารถทําได้อยู่ วันนี้ขอบคุณมาก ๆ ขอบคุณหมอตอง หมอ ถุย ขอบคุณหมอตังค์มาก ๆ เลยนะครับ ครับ,combined_wav/combined_output_626.wav
639,"It's an honor to be sitting with the champion today, and I've been following him, but actually, well, what",เป็นเกียรติ วันนี้ได้นั่งกับแชมป์ครับผม ก็ผมติดตาม ติดตามมาตลอด แต่จริงๆ ก็อ่า พี่รถถังเกิด ปีเท่าไหร่นะครับ ผมเกิด 40 40 ใช่ โห ไม่อยากจะเชื่อนะ ห่างกับผม 2 ปี ต่อยรายการไหนมาบ้างครับตอนนี้ ก็ตอนนี้ อ่า ประจำหลักอยู่ ,combined_wav/combined_output_640.wav
640,"Uh, yeah, uh, because of the title, and if we can defend the champ, it's a two-year, two-year contract.",อ้า ใช่ครับ อ้า เพราะว่าครองตำแหน่งแชมป์อยู่ แล้วก็ถ้าเรา เราป้องกันแชมป์ได้เนี่ย มันจะสัญญาอัตโนมัติ 2 ปี 2 ปี อ๋อ ใช่ครับผม ในปีนี้ผมก็จะมี น่าจะประมาณ 23 ไฟต์ ก็จะมีประเทศไทย,combined_wav/combined_output_641.wav
642,"Oh, yeah, yeah, I'm gonna go out and think about it for a second. There's no script, no cra",อ่า ใช่ๆ ใช่ จะออกไปคิดแป๊บนึง มันไม่มีสคริปต์ ห่าเหวอะไรเลย มันไม่รู้เลยว่าจะถามอะไรต่อ เกี่ยวกับวงการมวย ข้อมูลพี่มันเยอะมาก ผมก็เลย คิดไม่ออกตอนเนี้ย มัน ได้หมด อยากถามอะไรได้หมด จริงๆ แล้วแบบ ไม่จริงๆ อะ คำถามเยอะมากในใจอะ งั้นเราเอาแบบนี้ดีกว่ามั้ย อ่า เราไปนั่งคุยแบบ,combined_wav/combined_output_643.wav
656,"I went to school for $5 a day? Yes. That was, like, a year ago.",ผมได้ไปโรงเรียนวันละ 5 บาทนะ 5 บาทเหรอพี่ ใช่ อันนั่นคือ กี่ปีแล้วอะพี่ ก็ตอน ป4 ป5 ยันถึง ป6 อะ จริงๆ ก็ไม่นานมากนะ เพราะว่า รถถังพึ่งได้ 27 ใช่ 27 รถถังพึ่งได้ 27 ใช่ครับ อ๋อ ไม่นาน อ๋า,combined_wav/combined_output_657.wav
659,"Oh, there's 555 keys in the trunk, and there's keys to steal, and then you have",อ๋อ มีกุญแจ 555 ในตู้มันมีกุญแจ จะไปขโมยต้องทุบกระจก อ๋อ เออ อันนั้นโหดไป ใช่ โอ้ แต่ก็น่ารักนะ ขโมยไม้ไอติม อ้าว ขโมยไม้ไอติม เพื่อมา พรุ่งนี้มาโรงเรียน เออ น่ารักดีๆ เพื่อมา พรุ่งนี้มาโรงเรียน แล้วเราก็เอาไม้นั้นอะ มาแลก อ๋อ มาแลก เพื่อได้ไอติมมากิน,combined_wav/combined_output_660.wav
672,"And then I come back to practice on the 6th, uh, but on the 1st day, I'm full of practice, and, oh, there's only five days, yeah, but dude, there's gonna be a first fight in a minute, and he's sick, and I'm really, really, really bad.",แล้วก็กลับมาซ้อม ถ้าซ้อมจะมีวันที่ 6 อ่า แต่วันนั้นวันที่ 1 อืม ผมก็ซ้อม ซ้อมเต็มที่ โห ก็มีแแค่ 5 วัน ใช่ แต่เพื่อน แป๊บเดียว จะมีไฟต์ชกวันที่ 1 ครับ เขาป่วย แล้วผมก็ซ้อม โอ้โห หนักมากแย่แล้ว อ่า,combined_wav/combined_output_673.wav
676,"You know what I do, I play a game, 30 an hour, okay, an hour, an hour, an hour, an hour, an hour, an hour, an hour, an hour, an hour, an hour, an hour.",รู้มั้ยผมเอาไปทำไร เล่นเกม ชั่วโมง ชั่วโมงละ 30 อ๋อ โอเค เป็นรายชั่วโมง อ๋า เออ แล้วแต่ เป็นชั่วโมง ใช่ อ๋อ โอเค เป็นรายชั่วโมง อ๋า แล้ว 300 พี่ก็เล่นเกมหมดเลย ก็ไม่หมด เก็บไว้กินสิ เก็บไว้กินสิ ก็ไม่หมด เก็บไว้กินสิ อ่า เอ้อ รุ่งเช้าก็ไปโรงเรียน อ่า ครับ โอ้โหย จากเมื่อก่อน,combined_wav/combined_output_677.wav
